ymonth,Precip,TMean,year,month
1832 Jan,0.7,-1.21290322580645,1832,1
1832 Feb,0.46551724137931,-1.22758620689655,1832,2
1832 Mar,0.464516129032258,0.812903225806452,1832,3
1832 Apr,0.166666666666667,5.80333333333333,1832,4
1832 May,1.56451612903226,8.0258064516129,1832,5
1832 Jun,3.54666666666667,11.1266666666667,1832,6
1832 Jul,2.91612903225806,13.7193548387097,1832,7
1832 Aug,1.83548387096774,15.6161290322581,1832,8
1832 Sep,0.446666666666667,10.5266666666667,1832,9
1832 Oct,0.629032258064516,5.99032258064516,1832,10
1832 Nov,1.03,0.906666666666667,1832,11
1832 Dec,1.22903225806452,-2.27096774193548,1832,12
1833 Jan,0.0483870967741935,-4.06451612903226,1833,1
1833 Feb,0.55,1.57142857142857,1833,2
1833 Mar,0.525806451612903,0.180645161290323,1833,3
1833 Apr,1.93,2.64333333333333,1833,4
1833 May,0.62258064516129,13.641935483871,1833,5
1833 Jun,2.78666666666667,14.3666666666667,1833,6
1833 Jul,4.28387096774194,11.4129032258065,1833,7
1833 Aug,3.67096774193548,10.641935483871,1833,8
1833 Sep,5.83666666666667,8.98333333333333,1833,9
1833 Oct,0.783870967741935,6.89354838709677,1833,10
1833 Nov,0.696666666666667,1.63,1833,11
1833 Dec,1.2258064516129,1.3741935483871,1833,12
1834 Jan,1.19354838709677,1.81290322580645,1834,1
1834 Feb,0.260714285714286,-1.21428571428571,1834,2
1834 Mar,1.05161290322581,-0.032258064516129,1834,3
1834 Apr,0.496666666666667,2.63333333333333,1834,4
1834 May,0.912903225806452,13.0677419354839,1834,5
1834 Jun,2.35333333333333,15.1133333333333,1834,6
1834 Jul,3.25161290322581,17.3129032258065,1834,7
1834 Aug,2.61612903225806,15.2129032258065,1834,8
1834 Sep,1.04666666666667,14.5766666666667,1834,9
1834 Oct,1.55483870967742,6.54193548387097,1834,10
1834 Nov,0.383333333333333,2.05333333333333,1834,11
1834 Dec,1.03870967741935,-2.27096774193548,1834,12
1835 Jan,1.32903225806452,-0.996774193548387,1835,1
1835 Feb,0.842857142857143,-1.05357142857143,1835,2
1835 Mar,0.754838709677419,-0.874193548387097,1835,3
1835 Apr,1.06666666666667,3.18333333333333,1835,4
1835 May,2.28709677419355,9.80967741935484,1835,5
1835 Jun,1.28,12.8533333333333,1835,6
1835 Jul,1.25161290322581,16.5354838709677,1835,7
1835 Aug,4.39354838709677,13.4290322580645,1835,8
1835 Sep,1.27,11.4133333333333,1835,9
1835 Oct,1.70967741935484,3.99677419354839,1835,10
1835 Nov,1,-2.29333333333333,1835,11
1835 Dec,0.032258064516129,-3.81612903225806,1835,12
1836 Jan,0.625806451612903,-3.38064516129032,1836,1
1836 Feb,0.624137931034483,-2.87586206896552,1836,2
1836 Mar,0.193548387096774,4.90967741935484,1836,3
1836 Apr,1.12333333333333,3.52333333333333,1836,4
1836 May,1.29354838709677,6.7258064516129,1836,5
1836 Jun,1.33666666666667,13.39,1836,6
1836 Jul,0.916129032258065,15.1548387096774,1836,7
1836 Aug,3.14516129032258,14.658064516129,1836,8
1836 Sep,2.23333333333333,9.51333333333333,1836,9
1836 Oct,1.1258064516129,7.20645161290323,1836,10
1836 Nov,1.52333333333333,0.556666666666667,1836,11
1836 Dec,0.983870967741935,-1.88709677419355,1836,12
1837 Jan,0.451612903225806,-2.35806451612903,1837,1
1837 Feb,0.0535714285714286,-1.78928571428571,1837,2
1837 Mar,1.2,-3.28064516129032,1837,3
1837 Apr,1.81666666666667,2.25333333333333,1837,4
1837 May,3.62258064516129,6.09354838709677,1837,5
1837 Jun,2.01333333333333,13.8366666666667,1837,6
1837 Jul,4.4,12.8161290322581,1837,7
1837 Aug,2.37096774193548,16.4516129032258,1837,8
1837 Sep,1.98,8.32666666666667,1837,9
1837 Oct,1.43548387096774,5.28709677419355,1837,10
1837 Nov,1.89,-0.44,1837,11
1837 Dec,0.667741935483871,-0.954838709677419,1837,12
1838 Jan,0.396774193548387,-6.21612903225806,1838,1
1838 Feb,0.614285714285714,-3.38571428571429,1838,2
1838 Mar,1.25161290322581,0.0225806451612903,1838,3
1838 Apr,1.14333333333333,1.34,1838,4
1838 May,1.92903225806452,9.79677419354839,1838,5
1838 Jun,4.81333333333333,12.0433333333333,1838,6
1838 Jul,2.11612903225806,13.5806451612903,1838,7
1838 Aug,2.34838709677419,12.3903225806452,1838,8
1838 Sep,3.53666666666667,11.5466666666667,1838,9
1838 Oct,0.861290322580645,5.4258064516129,1838,10
1838 Nov,1.37333333333333,2.74,1838,11
1838 Dec,0.829032258064516,-3.34193548387097,1838,12
1839 Jan,0.709677419354839,-4.87741935483871,1839,1
1839 Feb,0.767857142857143,-1.75714285714286,1839,2
1839 Mar,0.687096774193548,-1.82258064516129,1839,3
1839 Apr,1.53,0.91,1839,4
1839 May,2.37096774193548,8.14516129032258,1839,5
1839 Jun,3.67666666666667,15.8333333333333,1839,6
1839 Jul,3.05806451612903,15.6967741935484,1839,7
1839 Aug,3.10322580645161,11.8709677419355,1839,8
1839 Sep,2.99666666666667,11.7966666666667,1839,9
1839 Oct,0.0419354838709677,8.25483870967742,1839,10
1839 Nov,0.813333333333333,4.87666666666667,1839,11
1839 Dec,1.23548387096774,0.970967741935484,1839,12
1840 Jan,0.874193548387097,-0.490322580645161,1840,1
1840 Feb,0.482758620689655,-3.43793103448276,1840,2
1840 Mar,0.383870967741935,-4.52903225806452,1840,3
1840 Apr,0.0566666666666667,6.06,1840,4
1840 May,3.7741935483871,8.8741935483871,1840,5
1840 Jun,5.14666666666667,12.38,1840,6
1840 Jul,6.06774193548387,12.0322580645161,1840,7
1840 Aug,3.43548387096774,13.8225806451613,1840,8
1840 Sep,3.87333333333333,10.2233333333333,1840,9
